DATE,ROUND,TEAM 1,SCORE,TEAM 2
02.08. 20:00,Round 17,Raja Casablanca,2 - 0,Youssoufia Berrechid
30.07. 22:00,Round 17,Raja Casablanca,3 - 1,Renaissance Zemamra
01.03. 16:00,Round 18,Renaissance Zemamra,1 - 2,Moghreb Tetouan
01.03. 18:00,Round 18,Raja Beni Mellal,0 - 0,Olympique de Safi
02.03. 19:00,Round 18,Youssoufia Berrechid,3 - 0,IR Tanger
02.08. 20:00,Round 18,Raja Casablanca,2 - 0,Youssoufia Berrechid
05.08. 20:00,Round 18,Moghreb Tetouan,0 - 0,Raja Casablanca
12.03. 16:00,Round 18,IR Tanger,0 - 2,Wydad
12.03. 18:00,Round 18,Berkane,0 - 1,FUS Rabat
12.03. 20:00,Round 18,FAR Rabat,1 - 1,Hassania Agadir
13.03. 19:00,Round 18,Rapide Oued Zem,2 - 1,Renaissance Zemamra
02.03. 19:00,Round 19,Youssoufia Berrechid,3 - 0,IR Tanger
03.03. 17:00,Round 19,Rapide Oued Zem,2 - 2,FAR Rabat
03.03. 19:00,Round 19,FUS Rabat,1 - 0,Olympique Khouribga
05.03. 19:00,Round 19,Olympique de Safi,1 - 3,Renaissance Zemamra
05.08. 20:00,Round 19,Moghreb Tetouan,0 - 0,Raja Casablanca
06.03. 19:00,Round 19,Moghreb Tetouan,2 - 0,Youssoufia Berrechid
06.08. 22:00,Round 19,Berkane,2 - 1,Wydad
27.07. 22:00,Round 19,Hassania Agadir,1 - 0,Raja Beni Mellal
28.07. 22:00,Round 19,Wydad,1 - 1,Mouloudia Oujda
30.07. 20:00,Round 19,Difaa El Jadidi,0 - 0,Berkane
30.07. 22:00,Round 19,Raja Casablanca,3 - 1,Renaissance Zemamra
06.03. 19:00,Round 20,Moghreb Tetouan,2 - 0,Youssoufia Berrechid
06.08. 22:00,Round 20,Berkane,2 - 1,Wydad
07.03. 16:00,Round 20,FAR Rabat,1 - 2,FUS Rabat
07.03. 18:00,Round 20,Mouloudia Oujda,1 - 0,IR Tanger
07.08. 18:00,Round 20,Renaissance Zemamra,2 - 2,Hassania Agadir
08.03. 15:00,Round 20,Olympique Khouribga,1 - 0,Difaa El Jadidi
08.08. 18:00,Round 20,Raja Casablanca,2 - 0,Olympique de Safi
09.03. 17:00,Round 20,Raja Beni Mellal,1 - 0,Rapide Oued Zem
10.08. 20:00,Round 20,Wydad,3 - 2,Olympique Khouribga
12.03. 16:00,Round 20,IR Tanger,0 - 2,Wydad
10.08. 20:00,Round 21,Wydad,3 - 2,Olympique Khouribga
10.08. 22:00,Round 21,Difaa El Jadidi,1 - 1,FAR Rabat
11.08. 20:00,Round 21,Hassania Agadir,0 - 2,Raja Casablanca
11.08. 20:00,Round 21,Youssoufia Berrechid,1 - 1,Mouloudia Oujda
11.08. 22:00,Round 21,Olympique de Safi,0 - 0,Moghreb Tetouan
13.03. 19:00,Round 21,Rapide Oued Zem,2 - 1,Renaissance Zemamra
13.09. 20:00,Round 21,FUS Rabat,1 - 1,Raja Beni Mellal
13.09. 22:00,Round 21,IR Tanger,1 - 1,Berkane
14.08. 20:00,Round 21,Renaissance Zemamra,1 - 1,FUS Rabat
16.09. 19:15,Round 21,IR Tanger,1 - 1,FAR Rabat
27.07. 20:00,Round 21,Difaa El Jadidi,0 - 0,Raja Casablanca
08.09. 20:00,Round 22,Raja Beni Mellal,0 - 0,Difaa El Jadidi
08.09. 22:00,Round 22,Olympique Khouribga,0 - 1,IR Tanger
09.09. 17:00,Round 22,FAR Rabat,1 - 1,Wydad
13.09. 20:00,Round 22,FUS Rabat,1 - 1,Raja Beni Mellal
14.08. 20:00,Round 22,Renaissance Zemamra,1 - 1,FUS Rabat
15.08. 20:00,Round 22,Olympique de Safi,1 - 0,Youssoufia Berrechid
15.08. 20:00,Round 22,Moghreb Tetouan,1 - 2,Hassania Agadir
15.08. 22:00,Round 22,Berkane,1 - 0,Mouloudia Oujda
18.08. 20:00,Round 22,Difaa El Jadidi,2 - 1,Renaissance Zemamra
27.09. 19:15,Round 22,Raja Beni Mellal,0 - 1,Berkane
27.09. 19:15,Round 22,Raja Casablanca,1 - 0,Rapide Oued Zem
16.09. 19:15,Round 23,IR Tanger,1 - 1,FAR Rabat
16.09. 21:30,Round 23,Wydad,3 - 0,Raja Beni Mellal
18.08. 20:00,Round 23,Difaa El Jadidi,2 - 1,Renaissance Zemamra
18.08. 22:00,Round 23,Mouloudia Oujda,3 - 0,Olympique Khouribga
19.08. 20:00,Round 23,Youssoufia Berrechid,0 - 0,Berkane
19.08. 20:00,Round 23,FUS Rabat,0 - 1,Raja Casablanca
19.08. 20:00,Round 23,Hassania Agadir,2 - 2,Olympique de Safi
19.08. 22:00,Round 23,Rapide Oued Zem,2 - 1,Moghreb Tetouan
19.09. 19:15,Round 23,Olympique Khouribga,0 - 1,Berkane
22.08. 20:00,Round 23,Moghreb Tetouan,1 - 0,FUS Rabat
19.09. 19:15,Round 24,Olympique Khouribga,0 - 1,Berkane
20.09. 17:00,Round 24,Raja Beni Mellal,0 - 1,IR Tanger
20.09. 19:15,Round 24,Renaissance Zemamra,1 - 2,Wydad
20.09. 21:30,Round 24,Raja Casablanca,3 - 1,Difaa El Jadidi
21.09. 19:15,Round 24,Rapide Oued Zem,2 - 1,Hassania Agadir
22.08. 20:00,Round 24,Moghreb Tetouan,1 - 0,FUS Rabat
22.08. 22:00,Round 24,Olympique de Safi,1 - 0,Rapide Oued Zem
22.08. 22:00,Round 24,Hassania Agadir,2 - 0,Youssoufia Berrechid
23.08. 22:00,Round 24,FAR Rabat,1 - 1,Mouloudia Oujda
25.08. 22:00,Round 24,Youssoufia Berrechid,1 - 0,Olympique Khouribga
21.09. 19:15,Round 25,Rapide Oued Zem,2 - 1,Hassania Agadir
21.09. 21:30,Round 25,FUS Rabat,5 - 2,Olympique de Safi
23.09. 19:15,Round 25,IR Tanger,0 - 0,Renaissance Zemamra
23.09. 21:30,Round 25,Berkane,2 - 1,FAR Rabat
24.09. 19:15,Round 25,Wydad,0 - 0,Raja Casablanca
25.08. 22:00,Round 25,Youssoufia Berrechid,1 - 0,Olympique Khouribga
26.09. 19:15,Round 25,Hassania Agadir,2 - 1,FUS Rabat
27.08. 17:00,Round 25,Difaa El Jadidi,2 - 0,Moghreb Tetouan
27.08. 20:00,Round 25,Mouloudia Oujda,1 - 1,Raja Beni Mellal
29.08. 17:00,Round 25,FAR Rabat,1 - 1,Olympique Khouribga
02.09. 20:00,Round 26,Raja Casablanca,0 - 1,IR Tanger
08.09. 20:00,Round 26,Raja Beni Mellal,0 - 0,Difaa El Jadidi
26.09. 19:15,Round 26,Hassania Agadir,2 - 1,FUS Rabat
27.09. 17:00,Round 26,Renaissance Zemamra,1 - 0,Mouloudia Oujda
27.09. 19:15,Round 26,Raja Beni Mellal,0 - 1,Berkane
27.09. 19:15,Round 26,Raja Casablanca,1 - 0,Rapide Oued Zem
